id;longname;season;title;year;teacher;teacher_image;grade;categories;testing
a_geometric_view_to_algebraic_number_theory_2-spring92;a_geometric_view_to_algebraic_number_theory_2-course-sharif-rastegar-spring-1392;spring;نگاهی هندسی به نظریه جبری اعداد 2;1392;آرش رستگار;rastegar;2;5,8;سلام
a_geomtric_view_to_algebraic_number_theory_1-fall91;a_geomtric_view_to_algebraic_number_theory_1-course-sharif-rastegar-fall-1391;fall;نگاهی هندسی به نظریه ی جبری اعداد 1;1391;آرش رستگار;rastegar;1;5,8;
advanced_topics_in_statistics-fall91;advanced_topics_in_statistics-course-sharif-alishahi-fall-1391;fall;مباحث پیشرفته در آمار;1391;کسری علیشاهی;alishahi;2;1;
algebra_1-spring91;algebra_1-course-sharif-shahshahani-spring-1391;spring;جبر 1;1391;سیاوش شهشهانی;shahshahani;1;4,5;
algebra_2-spring92;algebra_2-course-sharif-jafari-spring-1392;spring;جبر 2;1392;امیر جعفری;jafari;1;4,5;
algebraic_geometry_1-spring92;algebraic_geometry_1-course-sharif-jafari-spring-1392;spring;هندسه جبری 1;1392;امیر جعفری;jafari;2;5,8;
algebraic_topology_1-spring92;algebraic_topology_1-course-rastegar-spring-1392;spring;توپولوژی جبری 1;1392;آرش رستگار;rastegar;2;5,8;
algebraic_topology_2-fall91;algebraic_topology_2-course-sharif-jafari-fall-1391;fall;توپولوژی جبری 2;1391;امیر جعفری;jafari;2;5,8;
mathematical_analysis_2-spring90;mathematical_analysis_2-course-sharif-shahshahani-spring-1390;spring;آنالیز ریاضی 2;1390;سیاوش شهشهانی;shahshahani;1;2,8;
applied_stochastic_processes-spring91;applied_stochastic_processes-course-sharif-alishahi-spring-1391;spring;فرآیندهای تصادفی کاربردی;1391;کسری علیشاهی;alishahi;2;1,2,4;
biological_math-spring91;biological_math-course-sharif-abbasian_fotuhi_razvan-spring-1391;spring;ریاضیات زیستی;1391;عبدالحسین عباسیان، مرتضی فتوحی، محمدرضا رزوان;fotouhi;1;2,6;
calculus_2-spring92;calculus_2-course-sharif-moghaddasi-spring-1392;spring;ریاضی عمومی 2;1392;سید رضا مقدسی;moghadasi;1;2,8,9;
calculus_2-spring88;calculus_2-course-sharif-shahshahani-spring-1388;spring;ریاضی عمومی 2;1388;سیاوش شهشهانی;shahshahani;1;2,8,9;
combinatorics_and_applications-fall91;combinatorics_and_applications-course-sharif-jafari-fall-1391;fall;ترکیبیات و کارهای آن;1391;امیر جعفری;jafari;1;4;
complex_functions-fall90;complex_functions-course-sharif-jafari-fall-1390;fall;توابع مختلط;1390;امیر جعفری;jafari;1;2,8;
differentiable_manifolds-spring91;differentiable_manifolds-course-sharif-shahshahani-spring-1391;spring;هندسه منیفلد;1391;سیاوش شهشهانی;shahshahani;2;2,6,8;
discrete_mathematics-spring92;discrete_mathematics-course-sharif-mirsadeghi-spring-1392;spring;ریاضیات گسسته;1392;میرامید حاجی میرصادقی;mirsadeghi;1;4;
elementary_functional_analysis-spring92;elementary_functional_analysis-course-sharif-zangene-spring-1392;spring;آنالیز تابعی مقدماتی;1392;بیژن ظهوری زنگنه;zangene;1;2;
elementary_ordinary_differential_equations-fall91;elementary_ordinary_differential_equations-course-sharif-fotouhi-fall-1391;fall;نظریه معادلات دیفرانسیل عادی مقدماتی;1391;مرتضی فتوحی;fotouhi;1;2,6;
engineering_mathematics-spring92;engineering_mathematics-course-sharif-mirsadeghi-spring-1392;spring;ریاضی مهندسی;1392;میرامید میرصادقی;mirsadeghi;1;2,6,9;
financial_mathematics-spring88;financial_mathematics-course-sharif-alishahi-spring-1388;spring;ریاضیات مالی;1388;کسری علیشاهی;alishahi;2;1,2;
linear_algebra-fall90;linear_algebra-course-sharif-shahshahani-fall-1390;fall;جبر خطی;1390;سیاوش شهشهانی;shahshahani;1;2,8;
mathematical_analysis_1-spring92;mathematical_analysis_1-course-sharif-alishahi-spring-1392;spring;آنالیز ریاضی 1;1392;کسری علیشاهی;alishahi;1;2,8;
partial_differential_equations-spring92;partial_differential_equations-course-sharif-fotouhi-spring-1392;spring;معادلات دیفرانسیل با مشتقات جزئی;1392;مرتضی فتوحی;fotouhi;2;2,6,8;
probability-fall88;probability-course-sharif-alishahi-fall-1388;fall;احتمال و کاربرد آن;1388;کسری علیشاهی;alishahi;1;1;
random_matrix-spring92;random_matrix-course-sharif-alishahi-spring-1392;spring;ماتریس های تصادفی;1392;کسری علیشاهی;alishahi;2;1,2;
randomized_analysis-spring88;randomized_analysis-course-sharif-alishahi-spring-1388;spring;آنالیز تصادفی;1388;کسری علیشاهی;alishahi;2;1,2;
real_analysis-fall90;real_analysis-course-sharif-alishahi-fall-1390;fall;آنالیز حقیقی;1390;کسری علیشاهی;alishahi;2;1,2;
real_analysis-spring92;real_analysis-course-sharifitabar-spring-1392;spring;آنالیز حقیقی;1392;محسن شریفی تبار;sharifitabar;2;1,2;
