id;session;groups
calculus_1(session-1)-course-sharif-mirsadeghi-fall-1393;1;calculus_1-fall93_2
dynamic_systems(session-1)-course-sharif-mirsadeghi_nasiri-fall-1393;1;dynamic_systems-fall93
calculus_1(session-2)-course-sharif-mirsadeghi-fall-1393;2;calculus_1-fall93_2
calculus_1(session-3-1)-course-sharif-mirsadeghi-fall-1393;3;calculus_1-fall93_2
dynamic_systems(session-2)-course-sharif-mirsadeghi_nasiri-fall-1393;2;dynamic_systems-fall93
dynamic_systems(session-3)-course-sharif-mirsadeghi_nasiri-fall-1393;3;dynamic_systems-fall93
calculus_1(session-3-2)-course-sharif-mirsadeghi-fall-1393;3;calculus_1-fall93_2
calculus_1(session-3-3)-course-sharif-mirsadeghi-fall-1393;3;calculus_1-fall93_2
dynamic_systems(session-4)-course-sharif-mirsadeghi_nasiri-fall-1393;4;dynamic_systems-fall93
calculus_1(session-4-1)-course-sharif-mirsadeghi-fall-1393;4;calculus_1-fall93_2
calculus_1(session-4-2)-course-sharif-mirsadeghi-fall-1393;4;calculus_1-fall93_2
calculus_1_ta(session-1-1)-course-sharif-rajabzade-fall-1393;1;calculus_1_ta-fall93
calculus_1_ta(session-1-2)-course-sharif-rajabzade-fall-1393;1;calculus_1_ta-fall93
calculus_1_ta(session-2)-course-sharif-rajabzade-fall-1393;1;calculus_1_ta-fall93
dynamic_systems(session-7)-course-sharif-mirsadeghi_nasiri-fall-1393;7;dynamic_systems-fall93
dynamic_systems(session-6)-course-sharif-mirsadeghi_nasiri-fall-1393;6;dynamic_systems-fall93
dynamic_systems(session-5)-course-sharif-mirsadeghi_nasiri-fall-1393;5;dynamic_systems-fall93
calculus_1(session-5-1)-course-sharif-mirsadeghi-fall-1393;5;calculus_1-fall93_2
calculus_1(session-5-2)-course-sharif-mirsadeghi-fall-1393;5;calculus_1-fall93_2
calculus_1(session-5-3)-course-sharif-mirsadeghi-fall-1393;5;calculus_1-fall93_2
dynamic_systems(session-8)-course-sharif-mirsadeghi_nasiri-fall-1393;8;dynamic_systems-fall93
dynamic_systems(session-9)-course-sharif-mirsadeghi_nasiri-fall-1393;9;dynamic_systems-fall93
dynamic_systems(session-10)-course-sharif-mirsadeghi_nasiri-fall-1393;10;dynamic_systems-fall93
dynamic_systems(session-11)-course-sharif-mirsadeghi_nasiri-fall-1393;11;dynamic_systems-fall93
dynamic_systems(session-12)-course-sharif-mirsadeghi_nasiri-fall-1393;12;dynamic_systems-fall93
dynamic_systems(session-13)-course-sharif-mirsadeghi_nasiri-fall-1393;13;dynamic_systems-fall93
calculus_1(session-5-4)-course-sharif-mirsadeghi-fall-1393;5;calculus_1-fall93_2
calculus_1(session-6-1)-course-sharif-mirsadeghi-fall-1393;6;calculus_1-fall93_2
calculus_1(session-6-2)-course-sharif-mirsadeghi-fall-1393;6;calculus_1-fall93_2
calculus_1(session-7-1)-course-sharif-mirsadeghi-fall-1393;7;calculus_1-fall93_2
calculus_1(session-7-2)-course-sharif-mirsadeghi-fall-1393;7;calculus_1-fall93_2
dynamic_systems(session-14)-course-sharif-mirsadeghi_nasiri-fall-1393;14;dynamic_systems-fall93
dynamic_systems(session-15)-course-sharif-mirsadeghi_nasiri-fall-1393;15;dynamic_systems-fall93
dynamic_systems(session-16-1)-course-sharif-mirsadeghi_nasiri-fall-1393;16;dynamic_systems-fall93
dynamic_systems(session-16-2)-course-sharif-mirsadeghi_nasiri-fall-1393;16;dynamic_systems-fall93
dynamic_systems(session-16-3)-course-sharif-mirsadeghi_nasiri-fall-1393;16;dynamic_systems-fall93
dynamic_systems(session-17)-course-sharif-mirsadeghi_nasiri-fall-1393;17;dynamic_systems-fall93
