id;about;length;visit;season;day;month;year;session;part;date;subject;groups;format;title;speaker
combinatorics_and_applications(session-14-2)-course-sharif-jafari-fall-1391;;;;;;;;14;2;;;combinatorics_and_applications-fall91;avi;;
combinatorics_and_applications(session-15-1)-course-sharif-jafari-fall-1391;;;;;;;;15;1;;;combinatorics_and_applications-fall91;avi;;
combinatorics_and_applications(session-15-2)-course-sharif-jafari-fall-1391;;;;;;;;15;2;;;combinatorics_and_applications-fall91;avi;;
combinatorics_and_applications(session-16-1)-course-sharif-jafari-fall-1391;;;;;;;;16;1;;;combinatorics_and_applications-fall91;avi;;
combinatorics_and_applications(session-16-2)-course-sharif-jafari-fall-1391;;;;;;;;16;2;;;combinatorics_and_applications-fall91;avi;;
combinatorics_and_applications(session-17-1)-course-sharif-jafari-fall-1391;;;;;;;;17;1;;;combinatorics_and_applications-fall91;avi;;
combinatorics_and_applications(session-17-2)-course-sharif-jafari-fall-1391;;;;;;;;17;2;;;combinatorics_and_applications-fall91;avi;;
combinatorics_and_applications(session-17-3)-course-sharif-jafari-fall-1391;;;;;;;;17;3;;;combinatorics_and_applications-fall91;avi;;
algebraic_topology_2(session-18-1)-course-sharif-jafari-fall-1391;;;;;;;;18;1;;;algebraic_topology_2-fall91;avi;;
algebraic_topology_2(session-18-2)-course-sharif-jafari-fall-1391;;;;;;;;18;2;;;algebraic_topology_2-fall91;avi;;
algebraic_topology_2(session-18-3)-course-sharif-jafari-fall-1391;;;;;;;;18;3;;;algebraic_topology_2-fall91;avi;;
algebraic_topology_2(session-19-1)-course-sharif-jafari-fall-1391;;;;;;;;19;1;;;algebraic_topology_2-fall91;avi;;
algebraic_topology_2(session-19-2)-course-sharif-jafari-fall-1391;;;;;;;;19;2;;;algebraic_topology_2-fall91;avi;;
algebraic_topology_2(session-2-1)-course-sharif-jafari-fall-1391;;;;;;;;2;1;;;algebraic_topology_2-fall91;avi;;
algebraic_topology_2(session-2-2)-course-sharif-jafari-fall-1391;;;;;;;;2;2;;;algebraic_topology_2-fall91;avi;;
algebraic_topology_2(session-20-1)-course-sharif-jafari-fall-1391;;;;;;;;20;1;;;algebraic_topology_2-fall91;avi;;
algebraic_topology_2(session-20-2)-course-sharif-jafari-fall-1391;;;;;;;;20;2;;;algebraic_topology_2-fall91;avi;;
algebra_1(session-13-1)-course-sharif-shahshahani-spring-1391;;;;;;;;13;1;;;algebra_1-spring91;avi;;
algebra_1(session-13-2)-course-sharif-shahshahani-spring-1391;;;;;;;;13;2;;;algebra_1-spring91;avi;;
algebra_1(session-14)-course-sharif-shahshahani-spring-1391;;;;;;;;14;-;;root;algebra_1-spring91;avi;;
algebra_1(session-15)-course-sharif-shahshahani-spring-1391;;;;;;;;15;-;;;algebra_1-spring91;avi;;
algebra_1(session-16)-course-sharif-shahshahani-spring-1391;;;;;;;;16;-;;;algebra_1-spring91;avi;;
algebra_1(session-17)-course-sharif-shahshahani-spring-1391;;;;;;;;17;-;;;algebra_1-spring91;avi;;
algebra_1(session-18)-course-sharif-shahshahani-spring-1391;;;;;;;;18;-;;;algebra_1-spring91;avi;;
algebra_1(session-19)-course-sharif-shahshahani-spring-1391;;;;;;;;19;-;;;algebra_1-spring91;avi;;
algebra_1(session-2)-course-sharif-shahshahani-spring-1391;;;;;;;;2;-;;;algebra_1-spring91;avi;;
algebra_1(session-20)-course-sharif-shahshahani-spring-1391;;;;;;;;20;-;;;algebra_1-spring91;avi;;
algebra_1(session-21)-course-sharif-shahshahani-spring-1391;;;;;;;;21;-;;;algebra_1-spring91;avi;;
